PS,IF,D,0.18,0.22,1420.0, 8/26/2022
PS,VVS1,D,0.18,0.22,1420.0, 8/26/2022
PS,VVS2,D,0.18,0.22,1420.0, 8/26/2022
PS,VS1,D,0.18,0.22,1210.0, 8/26/2022
PS,VS2,D,0.18,0.22,1210.0, 8/26/2022
PS,SI1,D,0.18,0.22,930.0, 8/26/2022
PS,SI2,D,0.18,0.22,790.0, 8/26/2022
PS,SI3,D,0.18,0.22,680.0, 8/26/2022
PS,I1,D,0.18,0.22,580.0, 8/26/2022
PS,I2,D,0.18,0.22,450.0, 8/26/2022
PS,I3,D,0.18,0.22,360.0, 8/26/2022
PS,IF,E,0.18,0.22,1420.0, 8/26/2022
PS,VVS1,E,0.18,0.22,1420.0, 8/26/2022
PS,VVS2,E,0.18,0.22,1420.0, 8/26/2022
PS,VS1,E,0.18,0.22,1210.0, 8/26/2022
PS,VS2,E,0.18,0.22,1210.0, 8/26/2022
PS,SI1,E,0.18,0.22,930.0, 8/26/2022
PS,SI2,E,0.18,0.22,790.0, 8/26/2022
PS,SI3,E,0.18,0.22,680.0, 8/26/2022
PS,I1,E,0.18,0.22,580.0, 8/26/2022
PS,I2,E,0.18,0.22,450.0, 8/26/2022
PS,I3,E,0.18,0.22,360.0, 8/26/2022
PS,IF,F,0.18,0.22,1420.0, 8/26/2022
PS,VVS1,F,0.18,0.22,1420.0, 8/26/2022
PS,VVS2,F,0.18,0.22,1420.0, 8/26/2022
PS,VS1,F,0.18,0.22,1210.0, 8/26/2022
PS,VS2,F,0.18,0.22,1210.0, 8/26/2022
PS,SI1,F,0.18,0.22,930.0, 8/26/2022
PS,SI2,F,0.18,0.22,790.0, 8/26/2022
PS,SI3,F,0.18,0.22,680.0, 8/26/2022
PS,I1,F,0.18,0.22,580.0, 8/26/2022
PS,I2,F,0.18,0.22,450.0, 8/26/2022
PS,I3,F,0.18,0.22,360.0, 8/26/2022
PS,IF,G,0.18,0.22,1250.0, 8/26/2022
PS,VVS1,G,0.18,0.22,1250.0, 8/26/2022
PS,VVS2,G,0.18,0.22,1250.0, 8/26/2022
PS,VS1,G,0.18,0.22,1060.0, 8/26/2022
PS,VS2,G,0.18,0.22,1060.0, 8/26/2022
